nct_id,title,status,study_type,phase,conditions,sponsor,pulled_at
NCT02971761,Pembrolizumab and Enobosarm in Treating Patients With Androgen Receptor Positive Metastatic Triple Negative Breast Cancer,COMPLETED,INTERVENTIONAL,PHASE2,"Androgen Receptor Positive, Estrogen Receptor Negative, HER2/Neu Negative, Metastatic Triple-Negative Breast Carcinoma, Progesterone Receptor Negative, Stage IV Breast Cancer AJCC v6 and v7",City of Hope Medical Center,2026-07-06T10:53:51.370582
NCT02567669,Muscle Loss and Fatigue as a Consequence of Radiotherapy,ACTIVE_NOT_RECRUITING,OBSERVATIONAL,,"Breast Cancer, Fatigue, Sarcopenia",Essentia Health,2026-07-06T10:53:51.370589
NCT01730729,Cabergoline in Metastatic Breast Cancer,COMPLETED,INTERVENTIONAL,EARLY_PHASE1,"Recurrent Breast Cancer, Stage IV Breast Cancer",Northwestern University,2026-07-06T10:53:51.370596
NCT02188745,ER Reactivation Therapy for Breast Cancer,COMPLETED,INTERVENTIONAL,PHASE2,Metastatic Breast Cancer,Dartmouth-Hitchcock Medical Center,2026-07-06T10:53:51.370603
NCT06197581,Safety Assessment of Concurrent Radiotherapy and Novel Systemic Therapy for Breast Cancer,RECRUITING,INTERVENTIONAL,NA,"Breast Cancer, Familial Male, Radiotherapy; Complications, Chemotherapeutic Toxicity, Immune Checkpoint Inhibitor, CDK4/6 Inhibitor, Trastuzumab, Pertuzumab, PARP Inhibitor","Cancer Institute and Hospital, Chinese Academy of Medical Sciences",2026-07-06T10:53:51.370610
NCT03321981,MCLA-128 With Trastuzumab/Chemotherapy in HER2+ and With Endocrine Therapy in ER+ and Low HER2 Breast Cancer.,COMPLETED,INTERVENTIONAL,PHASE2,Breast Cancer Metastatic,Merus B.V.,2026-07-06T10:53:51.370617
NCT02882581,"Metformin in Breast Cancer, Visualized With Positron Emission Tomography",COMPLETED,INTERVENTIONAL,PHASE1,Breast Cancer,Aarhus University Hospital,2026-07-06T10:53:51.370624
NCT04275661,Ketamine Versus Magnesium Sulphate as Adjuvants for ESPB in Breast Cancer Surgery,COMPLETED,INTERVENTIONAL,PHASE2,"Analgesia, Breast Cancer",Assiut University,2026-07-06T10:53:51.370631
NCT02524561,KEEPS Mammographic Density And Breast Health Ancillary Study,COMPLETED,INTERVENTIONAL,NA,"Mammographic Density, Abnormal Mammogram",Brigham and Women's Hospital,2026-07-06T10:53:51.370638
NCT02947061,S1 Plus Docetaxel Versus Capecitabine Plus Docetaxel First-line Treatment in Patients With Advanced Breast Cancer,UNKNOWN,INTERVENTIONAL,PHASE2,Breast Cancer Recurrent,Chinese Academy of Medical Sciences,2026-07-06T10:53:51.370648
NCT00724386,Concomitant Chemoradiotherapy With Weekly Paclitaxel and Vinorelbine and Granulocyte Colony Stimulating Factor (GCSF) Support in Patients With Advanced Breast Cancer,COMPLETED,INTERVENTIONAL,PHASE1,Breast Cancer,University of Chicago,2026-07-06T10:53:51.370655
NCT07525869,An Open-label Prospective Study to Evaluate the Efficacy and Safety of Pegfilgrastim in Triple-Negative Breast Cancer Patients Receiving AC Regimen Following Paclitaxel and Carboplatin as Neoadjuvant Therapy,RECRUITING,INTERVENTIONAL,NA,Triple-Negative Breast Cancer,Yonsei University,2026-07-06T10:53:51.370662
NCT03116022,Use of Estriol at Distal Third of Vagina Improving Coital Pain in Post-menopause Women,COMPLETED,INTERVENTIONAL,PHASE1,"Dyspareunia, Menopause, Sexual Dysfunction",University of Sao Paulo,2026-07-06T10:53:51.370669
NCT01983995,"Examining the Relationships Between Sleep, Fatigue, and Pain in Aromatase Inhibitor-treated Patients",COMPLETED,OBSERVATIONAL,,Breast Cancer,University of Michigan,2026-07-06T10:53:51.370676
NCT00003577,Combination Chemotherapy With or Without Epirubicin in Treating Women With Stage I or Stage II Breast Cancer,COMPLETED,INTERVENTIONAL,PHASE3,Breast Cancer,University Hospital Birmingham,2026-07-06T10:53:51.370683
NCT06892275,The FYI on MRI: A Multilevel Decision Support Intervention for Screening Breast MRI,RECRUITING,INTERVENTIONAL,NA,"Breast Neoplasm Female, Early Detection of Cancer, Hereditary Breast and Ovarian Cancer Syndrome, Magnetic Resonance Imaging",Georgetown University,2026-07-06T10:53:51.370690
NCT02824575,Rebastinib Plus Antitubulin Therapy With Paclitaxel or Eribulin in Metastatic Breast Cancer,TERMINATED,INTERVENTIONAL,PHASE1,"Breast Cancer, Breast Adenocarcinoma, Human Epidermal Growth Factor 2 Negative Carcinoma of Breast, Recurrent Breast Carcinoma, Stage IV Breast Cancer",Montefiore Medical Center,2026-07-06T10:53:51.370696
NCT05028101,The Impact of Functional Medicine On Wound Healing From Delayed Autologous Breast Reconstruction,TERMINATED,INTERVENTIONAL,NA,Breast Reconstruction,Case Comprehensive Cancer Center,2026-07-06T10:53:51.370706
NCT02774681,Palbociclib in Treating Patients With Metastatic HER-2 Positive Breast Cancer With Brain Metastasis,TERMINATED,INTERVENTIONAL,PHASE2,"Breast Carcinoma Metastatic in the Brain, Estrogen Receptor Negative, HER2/Neu Negative, HER2/Neu Positive, Progesterone Receptor Negative, Recurrent Breast Carcinoma, Stage IV Breast Cancer",Northwestern University,2026-07-06T10:53:51.370714
NCT03437642,Psyhosomatic Medicine in Oncologic and Cardiac Disease Study,UNKNOWN,OBSERVATIONAL,,"Acute Myocardial Infarction, Tako Tsubo Cardiomyopathy, Breast Cancer",San Filippo Neri General Hospital,2026-07-06T10:53:51.370722
NCT01230970,Exploratory Study to Assess the Short Term Intratumoural and Peripheral Effects of BN83495 in Postmenopausal Women With Newly Diagnosed Breast Cancer,TERMINATED,INTERVENTIONAL,PHASE2,Breast Cancer,Ipsen,2026-07-06T10:53:51.370732
NCT03954431,High-Resolution Lower Dose Dedicated Breast Computed Tomography (CT),RECRUITING,INTERVENTIONAL,NA,Breast Cancer,University of Arizona,2026-07-06T10:53:51.370740
NCT01385137,"S0927:Omega3-Fatty Acid Supp in Treating Muscle&Bone Pain&Stiffness in Pts W/Stg I,II,III Brst Canc Rec'v Hormone Thpy",COMPLETED,INTERVENTIONAL,PHASE3,"Arthralgia, Breast Cancer, Pain",SWOG Cancer Research Network,2026-07-06T10:53:51.370747
NCT06125145,Geriatric Assessment and Promotores (GAP) Pilot Feasibility Study,COMPLETED,INTERVENTIONAL,NA,"Breast Cancer, Colorectal Cancer, Prostate Cancer","University of California, Davis",2026-07-06T10:53:51.370754
NCT07275957,Combined Nutrition and Exercise Interventions in Women With Breast Cancer History,ACTIVE_NOT_RECRUITING,INTERVENTIONAL,NA,Breast Cancer Survivors,University of Alicante,2026-07-06T10:53:51.370761
NCT06025461,Multimodal Ultrasound Diagnosis Characteristics of Bi-rads Class 4 Breast Lesions,COMPLETED,OBSERVATIONAL,,Breast Disease,Ma Zhe,2026-07-06T10:53:51.370768
NCT02612870,Sienna+® Injection Time Study 4 Arms,UNKNOWN,INTERVENTIONAL,PHASE4,Breast Neoplasms,Kantonsspital Baden,2026-07-06T10:53:51.370775
NCT05157373,The Effect of Androgen Receptor Polymorphism on Endometrial Cancer,UNKNOWN,OBSERVATIONAL,,"Androgen Receptor Abnormal, Endometrial Disorder",University of Nicosia,2026-07-06T10:53:51.370782
NCT05920369,Extracorporeal Shock Wave and a Tailored Exercise Program on Axillary Web Syndrome,UNKNOWN,INTERVENTIONAL,NA,Axillary Web Syndrome,Cairo University,2026-07-06T10:53:51.370789
NCT00098605,Lapatinib in Treating Brain Metastases in Patients With Stage IV Breast Cancer and Brain Metastases,COMPLETED,INTERVENTIONAL,PHASE2,"Central Nervous System Metastases, HER2-positive Breast Cancer, Male Breast Cancer, Recurrent Breast Cancer, Stage IV Breast Cancer, Tumors Metastatic to Brain",National Cancer Institute (NCI),2026-07-06T10:53:51.370796
NCT06125353,The Effect of Melatonin Supplementation on Fatigue Symptoms During Chemotherapy Treatment of Breast Cancer Patients,COMPLETED,INTERVENTIONAL,NA,Breast Cancer,Harokopio University,2026-07-06T10:53:51.370803
NCT00831545,"Study to Evaluate the Efficacy and Safety of Temozolomide in Subjects With Brain Metastases of Either Malignant Melanoma, Breast, or Non-small Cell Lung Cancer (P02064)",COMPLETED,INTERVENTIONAL,PHASE2,"Metastases of Central Nervous System, Melanoma, Breast Neoplasm, Carcinoma, Non-Small-Cell Lung",Merck Sharp & Dohme LLC,2026-07-06T10:53:51.370810
NCT06400472,A Study of LY4170156 in Participants With Selected Advanced Solid Tumors,RECRUITING,INTERVENTIONAL,PHASE1,"Ovarian Neoplasms, Endometrial Neoplasms, Uterine Cervical Neoplasms, Carcinoma, Non-Small-Cell Lung, Triple Negative Breast Neoplasms, Pancreatic Neoplasm, Colorectal Neoplasms",Eli Lilly and Company,2026-07-06T10:53:51.370820
NCT00948701,Community Volunteers Promoting Physical Activity Among Cancer Survivors,UNKNOWN,INTERVENTIONAL,NA,Breast Cancer,The Miriam Hospital,2026-07-06T10:53:51.370827
NCT06251401,Cardiac Rehabilitation for Breast Cancer Survivors,UNKNOWN,INTERVENTIONAL,NA,"Breast Cancer, Cardiovascular Diseases",Women's College Hospital,2026-07-06T10:53:51.370834
NCT05024227,The Effect of Nursing Education Intervention on Women's Health Literacy of Plasticizers,UNKNOWN,INTERVENTIONAL,NA,"Endocrine Disrupting Chemicals, Health Literacy",National Taipei University of Nursing and Health Sciences,2026-07-06T10:53:51.370843
NCT02605486,Palbociclib in Combination With Bicalutamide for the Treatment of AR(+) Metastatic Breast Cancer (MBC),ACTIVE_NOT_RECRUITING,INTERVENTIONAL,"PHASE1, PHASE2",Metastatic Breast Cancer (MBC),Memorial Sloan Kettering Cancer Center,2026-07-06T10:53:51.370850
NCT03185169,GSM (Genitourinary Syndrome Of Menopause) Management In Breast Cancer Survivors,TERMINATED,INTERVENTIONAL,EARLY_PHASE1,"Genitourinary Abnormality, Breast Cancer Female, Vaginal Abnormality, Urinary Tract Infections, Dyspareunia, Dysuria",Alta Bates Summit Medical Center,2026-07-06T10:53:51.370857
NCT03935802,Analysis of Circulating Epithelial Tumor Cells in Peripheral Blood in Patients With Primary Non-metastatic Breast Cancer Under Adjuvant Radiotherapy,COMPLETED,OBSERVATIONAL,,Breast Cancer Female,University of Jena,2026-07-06T10:53:51.370864
NCT00251472,A Phase II Trial of Abraxane™ Given Weekly as a Single Agent in First-line Treatment of Metastatic Breast Cancer,COMPLETED,INTERVENTIONAL,PHASE2,Metastatic Breast Cancer,Veeda Oncology,2026-07-06T10:53:51.370871
NCT03873272,The CONTRoL Trial: Cryotherapy vs. cOmpression Neuropathy TRiaL,COMPLETED,INTERVENTIONAL,NA,CIPN - Chemotherapy-Induced Peripheral Neuropathy,Columbia University,2026-07-06T10:53:51.370878
NCT03523195,Exercise Intervention After Cancer Treatment for Improving Health in Stage II-III Breast Cancer Survivors,COMPLETED,INTERVENTIONAL,NA,"Anatomic Stage II Breast Cancer AJCC v8, Anatomic Stage IIA Breast Cancer AJCC v8, Anatomic Stage IIB Breast Cancer AJCC v8, Anatomic Stage III Breast Cancer AJCC v8, Anatomic Stage IIIA Breast Cancer AJCC v8, Anatomic Stage IIIB Breast Cancer AJCC v8, Anatomic Stage IIIC Breast Cancer AJCC v8, Cancer Survivor, Estrogen Receptor Positive, HER2/Neu Negative, Progesterone Receptor Positive, Prognostic Stage II Breast Cancer AJCC v8, Prognostic Stage IIA Breast Cancer AJCC v8, Prognostic Stage IIB Breast Cancer AJCC v8, Prognostic Stage III Breast Cancer AJCC v8, Prognostic Stage IIIA Breast Cancer AJCC v8, Prognostic Stage IIIB Breast Cancer AJCC v8, Prognostic Stage IIIC Breast Cancer AJCC v8, Sedentary Lifestyle",Fred Hutchinson Cancer Center,2026-07-06T10:53:51.370886
NCT01500577,A Prevention Trial in Subjects at High Risk for Breast Cancer,COMPLETED,INTERVENTIONAL,PHASE2,Breast Cancer,European Institute of Oncology,2026-07-06T10:53:51.370893
NCT05672342,Phytocannabinoids for the Treatment of Chronic Chemotherapy-Induced Peripheral Neuropathy in Breast and Colon Cancer Survivors,WITHDRAWN,INTERVENTIONAL,EARLY_PHASE1,"Breast Carcinoma, Chemotherapy-Induced Peripheral Neuropathy, Colon Carcinoma",City of Hope Medical Center,2026-07-06T10:53:51.370900
NCT00015886,Combination Chemotherapy in Treating Women With Breast Cancer That is Metastatic or Cannot be Treated With Surgery,COMPLETED,INTERVENTIONAL,PHASE2,Breast Cancer,Wake Forest University Health Sciences,2026-07-06T10:53:51.370907
NCT00983541,Chemoradiation +Gemcitabine +Continuous 5-FU (Fluorouracil) Followed by High Dose Brachytherapy/Stereotactic Radiation Boost in Locally Advanced Intra/Extrahepatic Cholangiocarcinoma,TERMINATED,INTERVENTIONAL,PHASE2,Cancer,University of Utah,2026-07-06T10:53:51.370914
NCT02423356,Strain Echocardiography to Predict Cardiotoxicity in Patients Receiving Chemotherapy Containing Doxorubicin,COMPLETED,OBSERVATIONAL,,"Breast Neoplasms, Lymphoma, Sarcoma",Daniel Rushing,2026-07-06T10:53:51.370921
NCT05410002,Diet Effect on Cancer Treatment Outcome,COMPLETED,INTERVENTIONAL,PHASE1,"Cancer Breast, Cancer Prostate",Optimal Health Research,2026-07-06T10:53:51.370929
NCT03651037,Physical Activity Platform to Improve Bone Health in Cancer Survivors,COMPLETED,INTERVENTIONAL,NA,"Breast Cancer, Physical Activity, Bone Health",Thrivors Inc,2026-07-06T10:53:51.370936
NCT05931445,Patient Reported Outcomes Study Using Electronic Monitoring System for Advanced or Metastatic Solid Cancer,ACTIVE_NOT_RECRUITING,INTERVENTIONAL,NA,"Breast Cancer, Lung Cancer, Colorectal Cancer, Liver Cancer, Stomach Cancer, Endometrial Cancer, Ovarian Cancer, Squamous Cell Carcinoma of the Head and Neck",Comprehensive Support Project for Oncology Research,2026-07-06T10:53:51.370944
NCT06934239,A Trial Comparing Screening Mammography With and Without Assistance From Artificial Intelligence for Breast Cancer Detection and Recall Rates in Adult Patients,RECRUITING,INTERVENTIONAL,PHASE4,"Breast Cancer Screening, Artificial Intelligence (AI)",Jonsson Comprehensive Cancer Center,2026-07-06T10:53:51.370951
NCT04862195,Registrational Trial to Compare Effectiveness of Two Digital Software Medical Devices as Adjunctive Oncology Treatment,TERMINATED,INTERVENTIONAL,NA,"Anatomic Stage I Breast Cancer AJCC v8, Anatomic Stage II Breast Cancer AJCC v8, Anatomic Stage III Breast Cancer AJCC v8, Stage I Lung Cancer AJCC v8, Stage II Lung Cancer AJCC v8, Stage III Lung Cancer AJCC v8",Blue Note Therapeutics,2026-07-06T10:53:51.370959
NCT07589101,5T4 Targeting Nanobody Probe for PET Imaging in Solid Tumors,NOT_YET_RECRUITING,INTERVENTIONAL,NA,"Lung Cancer, Breast Cancer",Peking University Cancer Hospital & Institute,2026-07-06T10:53:51.370966
NCT01339442,BKM120 and Fulvestrant for Treating Postmenopausal Patients With Estrogen Receptor-Positive Stage IV Breast Cancer,COMPLETED,INTERVENTIONAL,PHASE1,"Estrogen Receptor-positive Breast Cancer, Recurrent Breast Cancer, Stage IV Breast Cancer",Washington University School of Medicine,2026-07-06T10:53:51.370976
NCT05553522,"Tucatinib, Trastuzumab, and Capecitabine With SRS for Brain Metastases From HER-2 Positive Breast Cancer",TERMINATED,INTERVENTIONAL,PHASE1,"Brain Metastases, HER2-positive Breast Cancer",Baptist Health South Florida,2026-07-06T10:53:51.370985
NCT04591431,The Rome Trial From Histology to Target: the Road to Personalize Target Therapy and Immunotherapy,UNKNOWN,INTERVENTIONAL,PHASE2,"Breast Cancer, Gastrointestinal Cancer, Non Small Cell Lung Cancer, Other Cancer",Fondazione per la Medicina Personalizzata,2026-07-06T10:53:51.370992
NCT00666731,Breast Cancer Registry for Participants With Breast Cancer or Characteristics of Hereditary Breast Cancer,COMPLETED,OBSERVATIONAL,,"Breast Cancer, Precancerous Condition",University of Nebraska,2026-07-06T10:53:51.371000
NCT03408353,"Mammography, Early Detection Biomarkers, Risk Assessment, and Imaging Technologies, MERIT Study",RECRUITING,OBSERVATIONAL,,Breast Carcinoma,M.D. Anderson Cancer Center,2026-07-06T10:53:51.371007
NCT03125746,A Study of LXI-15029 in Patients With Advanced Malignant Solid Tumors,UNKNOWN,INTERVENTIONAL,PHASE1,Advanced Breast Cancer,"Shandong Luoxin Pharmaceutical Group Stock Co., Ltd.",2026-07-06T10:53:51.371014
NCT02562170,Protexa® Versus TiLoopBra® in Immediate Breast Reconstruction- A Pilot Study,COMPLETED,INTERVENTIONAL,PHASE4,"Breast Cancer, Hereditary Breast and Ovarian Cancer Syndrome",Medical University of Vienna,2026-07-06T10:53:51.371021
NCT04857905,Dose-staged Gamma Knife Radiosurgery Versus Microsurgical Resection,UNKNOWN,INTERVENTIONAL,NA,Brain Metastases,Medical University of Vienna,2026-07-06T10:53:51.371028
NCT00584766,Intensive Combo Chemo With Autologous BM Rescue for Metastatic Breast Cancer,COMPLETED,INTERVENTIONAL,PHASE2,Metastatic Breast Cancer,University of Oklahoma,2026-07-06T10:53:51.371035
NCT01937039,Johns Hopkins Breast Cancer Program Longitudinal Repository,ACTIVE_NOT_RECRUITING,OBSERVATIONAL,,"Breast Cancer, Benign Breast Disease",Sidney Kimmel Comprehensive Cancer Center at Johns Hopkins,2026-07-06T10:53:51.371042
NCT07086053,Reliability of Myoton in Evaluating Skin Biomechanics in Breast Cancer-Related Lymphedema,NOT_YET_RECRUITING,INTERVENTIONAL,NA,Breast Cancer-Related Lymphedema,Kahramanmaras Sutcu Imam University,2026-07-06T10:53:51.371049
NCT00054301,Radiation Therapy After Lumpectomy in Treating Women With Ductal Carcinoma in Situ or Invasive Breast Cancer,COMPLETED,INTERVENTIONAL,PHASE2,Breast Cancer,Case Comprehensive Cancer Center,2026-07-06T10:53:51.371056
NCT03479801,"Comparative Study in Oral, Breast Approach and Open Thyroidectomy",UNKNOWN,OBSERVATIONAL,,Thyroid Neoplasms,"Second Affiliated Hospital, School of Medicine, Zhejiang University",2026-07-06T10:53:51.371062
NCT07335081,ctDNA in HER2+ EBC Neoadjuvant Treatment,RECRUITING,INTERVENTIONAL,PHASE2,Breast Cancer,Shanghai Jiao Tong University School of Medicine,2026-07-06T10:53:51.371069
NCT03250130,Hypnosis for Patients Treated With Adjuvant Chemotherapy for Breast Cancer(HYPNOVAL),COMPLETED,INTERVENTIONAL,NA,Breast Cancer,Institut du Cancer de Montpellier - Val d'Aurelle,2026-07-06T10:53:51.371076
NCT06190600,Supervised Physical Activity in Young Women With Early Breast Cancer During Neoadjuvant Chemotherpy,ACTIVE_NOT_RECRUITING,INTERVENTIONAL,NA,Breast Cancer,The Greater Poland Cancer Centre,2026-07-06T10:53:51.371083
NCT04193644,Mindfulness and Self-compassion Focussed Walking,UNKNOWN,INTERVENTIONAL,NA,"Breast Cancer, Fatigue","Charite University, Berlin, Germany",2026-07-06T10:53:51.371091
NCT01157767,Exercise Program of Breast Cancer Patients Undergoing Chemotherapy With or Without Radiation,COMPLETED,OBSERVATIONAL,,Breast Cancer,Memorial Sloan Kettering Cancer Center,2026-07-06T10:53:51.371099
NCT03021200,Laser Fluorescence in Cancer Surgical Treatment,UNKNOWN,INTERVENTIONAL,NA,"Esophageal Cancer, Gastric Cancer, ColoRectal Cancer, Prostatic Neoplasms, Uterine Cancer, Head and Neck Cancer, Breast Neoplasm",Instituto do Cancer do Estado de São Paulo,2026-07-06T10:53:51.371107
NCT02158507,"Pilot Study of Veliparib (ABT-888) and Lapatinib (Tykerb) in Patients With Metastatic, Triple Negative Breast Cancer",COMPLETED,INTERVENTIONAL,NA,Metastatic Triple Negative Breast Cancer,University of Alabama at Birmingham,2026-07-06T10:53:51.371112
NCT00032136,Exemestane Compared With Tamoxifen in Treating Postmenopausal Women With Breast Cancer,COMPLETED,INTERVENTIONAL,PHASE3,Breast Cancer,Cancer Research Campaign Clinical Trials Centre,2026-07-06T10:53:51.371118
NCT06992336,Circulating Tumor DNA Guided Boost Therapy in Early Triple Negative Breast Patients With Residual Disease After Neoadjuvant Therapy,RECRUITING,INTERVENTIONAL,PHASE2,Breast Cancer,Sun Yat-Sen Memorial Hospital of Sun Yat-Sen University,2026-07-06T10:53:51.371122
NCT01434264,Evaluating Personalized Effect of an Individualized Intervention,COMPLETED,INTERVENTIONAL,NA,Colorectal Cancer,University of Southern Denmark,2026-07-06T10:53:51.371126
NCT01977599,Are Text Message Reminders an Effective Intervention for Improving the Uptake of Breast Screening?,COMPLETED,INTERVENTIONAL,NA,Breast Screening,Imperial College Healthcare NHS Trust,2026-07-06T10:53:51.371130
NCT01632332,Vaccine Therapy in Treating Patients With Previously Treated Stage II-III HER2-Positive Breast Cancer,COMPLETED,INTERVENTIONAL,PHASE1,"HER2-positive Breast Cancer, Male Breast Cancer, Stage II Breast Cancer, Stage IIIA Breast Cancer, Stage IIIB Breast Cancer, Stage IIIC Breast Cancer",Mayo Clinic,2026-07-06T10:53:51.371135
NCT05057598,DianaWeb: Before and After Study Online Based Participatory Research on Breast Cancer Women,RECRUITING,INTERVENTIONAL,NA,Breast Cancer,"Fondazione IRCCS Istituto Nazionale dei Tumori, Milano",2026-07-06T10:53:51.371139
