nct_id,title,status,study_type,phase,conditions,sponsor,pulled_at
NCT03394690,"Effects of Green Coffee Extract Supplementation on Leptin, Ghrelin, Adiponectin,Anthropometric Measurements, Lipid Profile in Breast Cancer Survivors",UNKNOWN,INTERVENTIONAL,NA,Breast Cancer Survivors,National Nutrition and Food Technology Institute,2026-06-15T12:34:51.694714
NCT01266213,Fulvestrant (F)/Goserelin (G) vs Anastrozole (A)/G vs G for Premenopausal Women,UNKNOWN,INTERVENTIONAL,PHASE2,"Metastatic Breast Cancer, Estrogen Receptor Positive Tumor, Breast Cancer Nos Premenopausal",Samsung Medical Center,2026-06-15T12:34:51.694718
NCT06143020,Effect of ESPB on Postoperative Pain in Patients With Breast Cancer Implant Reconstruction,COMPLETED,INTERVENTIONAL,NA,"Mammary Cancer, Erector Spinae Plane Block, Postoperative Pain",Fudan University,2026-06-15T12:34:51.694728
NCT00972023,"DHEA in Treating Women Undergoing Surgery for Stage I, Stage II, or Stage III Breast Cancer",TERMINATED,INTERVENTIONAL,PHASE1,Breast Cancer,Barbara Ann Karmanos Cancer Institute,2026-06-15T12:34:51.694735
NCT06927180,SHR-A1811 Plus Pertuzumab in the Neoadjuvant Treatment of HER2 Positive BC,RECRUITING,INTERVENTIONAL,PHASE2,Breast Cancer Early Stage Breast Cancer (Stage 1-3),Henan Cancer Hospital,2026-06-15T12:34:51.694746
NCT07419880,"Re-challenge Immunotherapy With Cromolyn, TQB2102, and Panpulimab in Immune-Refractory Triple Negative Breast Cancer",NOT_YET_RECRUITING,INTERVENTIONAL,PHASE2,Triple -Negative Breast Cancer,Fudan University,2026-06-15T12:34:51.694753
NCT05656079,"To Evaluate the Cardiac Safety of Pegylated Liposomal Doxorubicin Concurrently Plus Trastuzumab and Pertuzumab in the Adjuvant Setting for Early-stage HER-2-positive Breast Cancer: a Multicenter, Randomized Controlled Clinical Study",UNKNOWN,INTERVENTIONAL,NA,Breast Cancer,Shanghai Pudong Hospital,2026-06-15T12:34:51.694759
NCT07355946,The Effect of Nurse-Led Coaching Program on Self-Care Agency and Quality of Life in Reconstructed Breast Cancer Patients,COMPLETED,INTERVENTIONAL,NA,Breast Reconstruction,Gazi University,2026-06-15T12:34:51.694767
NCT06767527,AK112 or Placebo Plus Nab-Paclitaxel as First-line Treatment in Inoperable Locally Advanced/ Metastatic Triple-negative Breast Cancer,RECRUITING,INTERVENTIONAL,PHASE3,Triple-Negative Breast Cancer (TNBC),Akeso,2026-06-15T12:34:51.694775
NCT02390661,Drain Placement for Seroma Prevention After Mammosite/SAVI Catheter Removal,COMPLETED,INTERVENTIONAL,NA,Infected Seroma After Surgical Procedure,Michigan State University,2026-06-15T12:34:51.694781
NCT00031278,Safety And Efficacy Study Of The Combination Of CpG 7909 And Herceptin In Patients With Metastatic Breast Cancer,COMPLETED,INTERVENTIONAL,"PHASE1, PHASE2","Carcinoma, Metastatic Breast",Pfizer,2026-06-15T12:34:51.694786
NCT02379585,Fasting on Newly Diagnosed Breast Cancer,TERMINATED,INTERVENTIONAL,"PHASE1, PHASE2",HER2-positive Breast Cancer,Western Regional Medical Center,2026-06-15T12:34:51.694789
NCT07034248,"Electrochemical Biosensor Based on Lectin-functionalized Nitrogen, Sulfur-doped Graphene Quantum Dot Decorated Gold Nanoparticles for Breast Cancer Diagnosis: From Academic Research to Clinical Translation",NOT_YET_RECRUITING,OBSERVATIONAL,,"Electrochemically Sensing Prob, Breast Cancer Diagnosis",Chang Gung Memorial Hospital,2026-06-15T12:34:51.694794
NCT04894955,Micrima MARIA Data Collection for Machine Learning Study,UNKNOWN,INTERVENTIONAL,NA,Breast Cancer,"Micrima, Ltd.",2026-06-15T12:34:51.694798
NCT02421978,Inflammation-Induced CNS Glutamate During Breast Cancer Treatment,COMPLETED,OBSERVATIONAL,,Breast Cancer,Emory University,2026-06-15T12:34:51.694802
NCT03442543,Preoperative Localization of Sentinel Lymph Node in Breast Cancer Patients By Novel Computed Tomography-Lymphography Guided Technique,UNKNOWN,INTERVENTIONAL,PHASE1,Breast Cancer,Mansoura University,2026-06-15T12:34:51.694806
NCT03665285,A Safety and Tolerability Study of NC318 in Subjects With Advanced or Metastatic Solid Tumors,COMPLETED,INTERVENTIONAL,"PHASE1, PHASE2","Advanced or Metastatic Solid Tumors, Lung Cancer, Breast Cancer, Head and Neck Squamous Cell Carcinoma, Endometrial Cancer, Melanoma, CRC, Urothelial Carcinoma, Cholangiocarcinoma","NextCure, Inc.",2026-06-15T12:34:51.694811
NCT06175078,Three-Dimensional Ultrasound Imaging and Spectroscopy for Characterizing Breast Masses,NOT_YET_RECRUITING,OBSERVATIONAL,,"Breast Cancer, Breast Masses",Sunnybrook Health Sciences Centre,2026-06-15T12:34:51.694815
NCT00390455,Fulvestrant With or Without Lapatinib in Treating Postmenopausal Women With Stage III or Stage IV Breast Cancer That is Hormone Receptor-Positive,COMPLETED,INTERVENTIONAL,PHASE3,"Estrogen Receptor Positive, HER2 Positive Breast Carcinoma, HER2/Neu Negative, Progesterone Receptor Positive, Recurrent Breast Carcinoma, Stage IIIB Breast Cancer AJCC v7, Stage IIIC Breast Cancer AJCC v7, Stage IV Breast Cancer AJCC v6 and v7",National Cancer Institute (NCI),2026-06-15T12:34:51.694819
NCT04031885,"A Study of Abemaciclib (LY2835219) in Combination With Fulvestrant Compared to Chemotherapy in Women With HR Positive, HER2 Negative Metastatic Breast Cancer",TERMINATED,INTERVENTIONAL,PHASE4,Metastatic Breast Cancer,Eli Lilly and Company,2026-06-15T12:34:51.694823
NCT02096185,Is Any Additional Information Gained Regarding Margins Using 3D Tomosynthesis Vs 2D Conventional Digital Imaging When Imaging Operative Breast Specimens?,UNKNOWN,INTERVENTIONAL,NA,Breast Cancer,Sandwell & West Birmingham Hospitals NHS Trust,2026-06-15T12:34:51.694827
NCT07071415,Overdiagnosis and Breast Cancer Screening Decisions,COMPLETED,INTERVENTIONAL,NA,"Mammography Screening, Geriatrics, Decision Aid",Yale University,2026-06-15T12:34:51.694831
NCT05339685,A Study of BL-M02D1 in Patients With Locally Advanced or Metastatic Triple Negative Breast Cancer or Other Solid Tumors,ACTIVE_NOT_RECRUITING,INTERVENTIONAL,PHASE1,Breast Cancer,"Sichuan Baili Pharmaceutical Co., Ltd.",2026-06-15T12:34:51.694835
NCT01017185,Study of HF10 in Patients With Refractory Head and Neck Cancer or Solid Tumors With Cutaneous and/or Superficial Lesions,COMPLETED,INTERVENTIONAL,PHASE1,"Refractory Head and Neck Cancer, Squamous Cell Carcinoma, Skin, Carcinoma of the Breast, Malignant Melanoma",Takara Bio Inc.,2026-06-15T12:34:51.694846
NCT04188548,A Study of LY3484356 in Participants With Advanced or Metastatic Breast Cancer or Endometrial Cancer,ACTIVE_NOT_RECRUITING,INTERVENTIONAL,PHASE1,"Breast Cancer, Advanced Breast Cancer, Metastatic Breast Cancer, Endometrial Cancer",Eli Lilly and Company,2026-06-15T12:34:51.694852
NCT05743725,Dexmedetomidine Versus Magnesium Sulphate in Patients Undergoing Craniotomy for Deeply Settled Intracranial Tumours,UNKNOWN,INTERVENTIONAL,NA,Brain Tumor,Assiut University,2026-06-15T12:34:51.694856
NCT01092689,The Role of Meat-borne Carcinogens in Pancreatic Cancer,WITHDRAWN,INTERVENTIONAL,PHASE1,Pancreas Cancer,University of Minnesota,2026-06-15T12:34:51.694859
NCT04411290,"Malignancy Predictors, Bethesda and TI-RADS Scores Correlated With Final Histopathology in Thyroid Diseases",UNKNOWN,OBSERVATIONAL,,"Thyroid Carcinoma, Thyroid Papillary Carcinoma, Multinodular Goiter, Adolescent, Solitary Thyroid Nodule, Thyroid Diseases, Multifocal Dysplasia, Aspiration, Thyroid Nodule, Thyroid Cancer, Papillary, Thyroid Neoplasms, Thyroid Goiter",Umraniye Education and Research Hospital,2026-06-15T12:34:51.694864
NCT05184582,Physical Exercise During Preoperative Chemotherapy for Breast Cancer,RECRUITING,INTERVENTIONAL,NA,Breast Cancer,Karolinska Institutet,2026-06-15T12:34:51.694867
NCT04659980,"Preventing Taxane-related Peripheral Neuropathy, Pain and Nail Toxicity: A Prospective Self-controlled Trial Comparing Hilotherapy With Frozen Gloves in Early Breast Cancer",COMPLETED,INTERVENTIONAL,NA,Breast Cancer,Universitaire Ziekenhuizen KU Leuven,2026-06-15T12:34:51.694872
NCT07238127,AST/ALT & MPV/Platelets Ratios in Breast Cancer,NOT_YET_RECRUITING,OBSERVATIONAL,,"Breast Cancer, AST/ALT Ratio, MPV/Platelets Ratio",Assiut University,2026-06-15T12:34:51.694877
NCT02108561,Breast Cancer Tumor Heterogeneity,UNKNOWN,OBSERVATIONAL,,Breast Cancer,Anne Arundel Health System Research Institute,2026-06-15T12:34:51.694881
NCT07220135,Trial of Neoadjuvant THP vs TCHP for HER2-Amplified/Positive Breast Cancer,RECRUITING,INTERVENTIONAL,PHASE2,Breast Cancer,University of Kansas Medical Center,2026-06-15T12:34:51.694884
NCT05127915,US Pivotal Clinical Study of the Adient Absorbable Filter for the Prevention of Pulmonary Embolism,ACTIVE_NOT_RECRUITING,INTERVENTIONAL,NA,Pulmonary Embolism,Adient Medical,2026-06-15T12:34:51.694889
NCT00003540,Gemcitabine in Treating Women With Metastatic Breast Cancer Previously Treated With Doxorubicin and Paclitaxel,COMPLETED,INTERVENTIONAL,PHASE2,Breast Cancer,Memorial Sloan Kettering Cancer Center,2026-06-15T12:34:51.694893
NCT03715413,Analgesic Efficacy of Pulsed Radiofrequency in Non-cyclic Mastalgia,COMPLETED,INTERVENTIONAL,PHASE2,Breast Fibroadenoma,Mansoura University,2026-06-15T12:34:51.694898
NCT04343820,Delayed Breast Reconstruction by Prepectoral Implant After Lipo-preparation (RM2prepec),COMPLETED,OBSERVATIONAL,,Breast Cancer Female,Institut Cancerologie de l'Ouest,2026-06-15T12:34:51.694902
NCT00944424,Phase III Trial of High Dose vs. Standard Dose Vit D2 With Docetaxel in Met Breast ca,UNKNOWN,INTERVENTIONAL,PHASE3,Breast Cancer,King Faisal Specialist Hospital & Research Center,2026-06-15T12:34:51.694906
NCT04318223,Palbociclib Plus Fulvestrant in Women With Hormone Receptor Positive and Human Epidermal Growth Factor Receptor Type 2 Negative Locally Advanced or Metastatic Breast Cancer Previously Treated With a CDK4/6 Inhibitor in Combination With Hormonal Therapy,UNKNOWN,INTERVENTIONAL,PHASE2,"Metastatic Breast Cancer, Locally Advanced Breast Cancer",Consorzio Oncotech,2026-06-15T12:34:51.694913
NCT07410559,Neoadjuvant Imlunestrant Plus Abemaciclib Treatment Guided by Ki67 Index After 2 Weeks for ER-Positive HER2-Negative Breast Cancer,NOT_YET_RECRUITING,INTERVENTIONAL,PHASE2,Breast Cancer,Fudan University,2026-06-15T12:34:51.694917
NCT05892146,Strategy Therapy on Cancer Therapy-Related Cardiac Dysfunction,UNKNOWN,INTERVENTIONAL,NA,"Chemotherapeutic Toxicity, Cardiotoxicity, Heart Failure, Breast Cancer, Lymphoma",National Cheng-Kung University Hospital,2026-06-15T12:34:51.694924
NCT05916703,Smart Optical and Ultrasound Diagnostic of Breast Cancer,UNKNOWN,INTERVENTIONAL,NA,Breast Disease,IRCCS San Raffaele,2026-06-15T12:34:51.694928
NCT02307227,Phase II Study With Trastuzumab + Paclitaxel in Locally Advanced HER2+ Tumors or Epirubicin + Taxotere in HER2- Tumors,COMPLETED,INTERVENTIONAL,PHASE2,Breast Neoplasms,Centro di Riferimento Oncologico - Aviano,2026-06-15T12:34:51.694932
NCT02171078,Post-Treatment Surveillance in Breast Cancer: Bringing CER to the Alliance,COMPLETED,OBSERVATIONAL,,Breast Neoplasms,"University of Wisconsin, Madison",2026-06-15T12:34:51.694938
NCT01969643,A Safety Study of SGN-LIV1A in Breast Cancer Patients,COMPLETED,INTERVENTIONAL,PHASE1,"HER2 Positive Breast Neoplasms, Hormone Receptor Positive Breast Neoplasms, Triple Negative Breast Neoplasms, HER2 Mutations Breast Neoplasms",Seagen Inc.,2026-06-15T12:34:51.694943
NCT03838549,Pre Pectoral Implant for Immediate Breast Reconstruction Using Single Port Endoscopy in Prophylactic Indication,COMPLETED,INTERVENTIONAL,NA,"Genetic Predisposition, Breast Cancer","University Hospital, Montpellier",2026-06-15T12:34:51.694947
NCT06132438,Immunotherapy Targeting of Cytomegalovirus Antigens in Glioblastoma,NOT_YET_RECRUITING,INTERVENTIONAL,PHASE1,Glioblastoma,Charlotte Lemech,2026-06-15T12:34:51.694951
NCT01612247,Low Dose Chemotherapy With Aspirin in Patients With Breast Cancer After Neoadjuvant Chemotherapy,UNKNOWN,INTERVENTIONAL,NA,Breast Cancer,University of Vermont,2026-06-15T12:34:51.694955
NCT07452055,Large Language Model-Based Emotional Management for Breast Cancer Patients,NOT_YET_RECRUITING,INTERVENTIONAL,NA,Primary Breast Cancer,"Nanfang Hospital, Southern Medical University",2026-06-15T12:34:51.694958
NCT02310243,Study of Palbociclib in MLL-rearranged Acute Leukemias,UNKNOWN,INTERVENTIONAL,"PHASE1, PHASE2","Acute Myeloid Leukemia, Acute Lymphoblastic Leukemia",University of Ulm,2026-06-15T12:34:51.694962
NCT05760755,Stick Together - Pilot Intervention Study,COMPLETED,INTERVENTIONAL,NA,Breast Cancer Female,"Rigshospitalet, Denmark",2026-06-15T12:34:51.694966
NCT00755885,Abiraterone Acetate in Treating Postmenopausal Women With Advanced or Metastatic Breast Cancer,COMPLETED,INTERVENTIONAL,"PHASE1, PHASE2",Breast Cancer,Cancer Research UK,2026-06-15T12:34:51.694970
NCT01367626,Bioequivalency Study of Letrozole 2.5 mg Tablets Under Fed Conditions,COMPLETED,INTERVENTIONAL,PHASE1,Breast Cancer,Roxane Laboratories,2026-06-15T12:34:51.694974
NCT03832985,Pediatric Reporting of Adult-Onset Genomic Results,COMPLETED,INTERVENTIONAL,EARLY_PHASE1,"Hereditary Breast and Ovarian Cancer Syndrome, Lynch Syndrome, Familial Hypercholesterolemia",Geisinger Clinic,2026-06-15T12:34:51.694978
NCT00001385,Positron Emission Tomography in Patients With Breast Cancer,COMPLETED,OBSERVATIONAL,,Breast Neoplasms,National Cancer Institute (NCI),2026-06-15T12:34:51.694982
NCT05746325,Tumor Treating Fields for the Treatment of Leptomeningeal Metastases of the Spine in Patients With Breast or Lung Cancer,RECRUITING,INTERVENTIONAL,NA,"Anatomic Stage IV Breast Cancer AJCC v8, Metastatic Breast Carcinoma, Metastatic Malignant Neoplasm in the Leptomeninges, Metastatic Lung Carcinoma, Stage IV Lung Cancer AJCC v8",Mayo Clinic,2026-06-15T12:34:51.694986
NCT01380925,The Jewels in Our Genes Study - an African American Family Study of Breast Cancer,COMPLETED,OBSERVATIONAL,,Breast Cancer,University at Buffalo,2026-06-15T12:34:51.694990
NCT05411276,A Real-World Study of Pyrotinib Maleate in the Treatment of Advanced/Metastatic Non-Small Cell Lung Cancer With Rare Mutations in HER2,UNKNOWN,OBSERVATIONAL,,HER2 Mutant Non-small Cell Lung Cancer,Beijing Chest Hospital,2026-06-15T12:34:51.694994
NCT03547089,A Prospective Trial to Assess Breast Cancer Survivors and Vaginal Atrophy Treatment Outcomes,SUSPENDED,INTERVENTIONAL,NA,"Vaginal Atrophy, Genitourinary System; Disorder, Female, Vaginal Abnormality, Sexual Dysfunction, Sexual Problem","W. Grant Stevens, MD",2026-06-15T12:34:51.694998
NCT05929768,Shorter Chemo-Immunotherapy Without Anthracycline Drugs for Early-Stage Triple Negative Breast Cancer,RECRUITING,INTERVENTIONAL,PHASE3,"Anatomic Stage I Breast Cancer AJCC v8, Anatomic Stage II Breast Cancer AJCC v8, Anatomic Stage IIIA Breast Cancer AJCC v8, Anatomic Stage IIIB Breast Cancer AJCC v8, Early Stage Triple-Negative Breast Carcinoma",SWOG Cancer Research Network,2026-06-15T12:34:51.695002
NCT07584213,The Association Between Blood Routine Parameters and Breast Cancer Prognosis,ACTIVE_NOT_RECRUITING,OBSERVATIONAL,,Breast Cancer Invasive,Wenjin Yin,2026-06-15T12:34:51.695006
NCT00525759,Investigating the Biological Effects of the Addition of Zoledronic Acid to Pre-operative Chemotherapy in Breast Cancer,COMPLETED,INTERVENTIONAL,PHASE2,Breast Cancer,Sheffield Teaching Hospitals NHS Foundation Trust,2026-06-15T12:34:51.695010
NCT00675259,Phase II NCT (Neoadjuvant Chemotherapy) w/ Weekly Abraxane in Combination With Carboplatin & Bevacizumab in Breast Cancer,COMPLETED,INTERVENTIONAL,PHASE2,Breast Cancer,Ohio State University Comprehensive Cancer Center,2026-06-15T12:34:51.695016
NCT07130162,Phosphatidylinositol Glycan Anchor Biosynthesis Class U Protein in Breast Cancer,NOT_YET_RECRUITING,OBSERVATIONAL,,Breast Cancer,Assiut University,2026-06-15T12:34:51.695020
NCT06924788,Video-Conferenced Stress Management and Relaxation Training (VSMART) For Alabama Breast Cancer Survivors,ENROLLING_BY_INVITATION,INTERVENTIONAL,NA,Breast Cancer Early Stage Breast Cancer (Stage 1-3),University of Alabama at Birmingham,2026-06-15T12:34:51.695024
NCT01434342,Feasibility of Delivering a Quitline Based Smoking Cessation Intervention in Cancer Patients,COMPLETED,INTERVENTIONAL,EARLY_PHASE1,"Lung Cancer, Tobacco Use Disorder, Breast Cancer, Colorectal Cancer, Prostate Cancer",Wake Forest University Health Sciences,2026-06-15T12:34:51.695028
NCT02754427,Pilot Study for a Prospective Surveillance Program for Rehabilitation Following Surgery for Breast Cancer,COMPLETED,INTERVENTIONAL,NA,Breast Cancer,University of British Columbia,2026-06-15T12:34:51.695031
NCT02827370,CAREFOR: Precision Medicine Driving Precision Nutrition for the Treatment of NeoAdjuvant Breast Cancer,COMPLETED,INTERVENTIONAL,NA,Breast Carcinoma,Sidney Kimmel Comprehensive Cancer Center at Thomas Jefferson University,2026-06-15T12:34:51.695036
NCT00932035,Axillary Lymph Node Preservation Surgery in Reducing Lymphedema in Patients With Breast Cancer,TERMINATED,INTERVENTIONAL,"PHASE1, PHASE2",Breast Cancer,City of Hope Medical Center,2026-06-15T12:34:51.695039
NCT00020176,Allogeneic Peripheral Stem Cell Transplantation in Treating Patients With Stage IV Breast Cancer,COMPLETED,INTERVENTIONAL,PHASE2,Breast Cancer,National Cancer Institute (NCI),2026-06-15T12:34:51.695043
NCT04034589,Pyrotinib in Combination With Fulvestrant in Patients With HER2 Positive，HR-Positive Metastatic Breast Cancer,UNKNOWN,INTERVENTIONAL,PHASE2,Metastatic Breast Cancer,Sun Yat-Sen Memorial Hospital of Sun Yat-Sen University,2026-06-15T12:34:51.695047
NCT07260591,VSV-02 Compassionate Use in Advanced Solid Tumors,RECRUITING,INTERVENTIONAL,PHASE1,"Advanced Solid Tumor, Melanoma, Breast Cancer, Lung Cancer, Cancer Treatment, Immunotherapy",The First Affiliated Hospital of Xinxiang Medical College,2026-06-15T12:34:51.695051
NCT01653574,A Study of Famitinib Malate in HER2-negative Metastatic Breast Cancer,COMPLETED,INTERVENTIONAL,PHASE2,Breast Neoplasms,Fudan University,2026-06-15T12:34:51.695055
NCT03562390,Irinotecan for Advanced and Metastatic Breast Cancer,UNKNOWN,INTERVENTIONAL,PHASE2,Breast Cancer,Liaoning Cancer Hospital & Institute,2026-06-15T12:34:51.695059
NCT03788213,One Week Versus Three Week in Adjuvant Radiotherapy in Breast Cancer,RECRUITING,INTERVENTIONAL,NA,Breast Cancer Female,Tata Medical Center,2026-06-15T12:34:51.695062
NCT03575260,500mg Fulvestrant Versus Exemestane in MBC,COMPLETED,OBSERVATIONAL,,Breast Cancer,Fudan University,2026-06-15T12:34:51.695066
NCT00825682,The Effect of Reflexology on Radiation-related Fatigue in Breast Cancer Patients,COMPLETED,INTERVENTIONAL,"PHASE1, PHASE2",Fatigue,Sheba Medical Center,2026-06-15T12:34:51.695070
NCT00342446,A Follow-up Study of Women Evaluated and Treated for Infertility,COMPLETED,OBSERVATIONAL,,"Ovarian Cancer, Breast Cancer, Endometrial Cancer, Thyroid Cancer, Colorectal Cancer, Melanoma",National Cancer Institute (NCI),2026-06-15T12:34:51.695074
NCT01079676,A Non-inferiority Study Comparing Two Filgrastim Preparations in Breast Cancer,COMPLETED,INTERVENTIONAL,PHASE3,Neutropenia in Breast Cancer,Eurofarma Laboratorios S.A.,2026-06-15T12:34:51.695078
NCT06000917,A Study of Neoadjuvant TCHpy（Pyrotinib ，Trastuzumab，Carboplatin and Paclitaxel）for ER+/HER2+ Breast Cancer,RECRUITING,INTERVENTIONAL,PHASE2,"Breast Cancer, Neoadjuvant","Union Hospital, Tongji Medical College, Huazhong University of Science and Technology",2026-06-15T12:34:51.695081
NCT07042568,The Effect of Education Given on Preventing Mouth Ulcers in Women With Breast Cancer,COMPLETED,INTERVENTIONAL,NA,"Breast Cancer Early Stage Breast Cancer (Stage 1-3), Chemotherapy",Trakya University,2026-06-15T12:34:51.695085
NCT07547774,Preoperative Sleep Quality and Postoperative Outcomes in Breast Surgery,RECRUITING,OBSERVATIONAL,,"Breast Cancer, Postoperative Pain, Inflammation",Dr Abdurrahman Yurtaslan Ankara Oncology Training and Research Hospital,2026-06-15T12:34:51.695089
NCT02819518,Study of Pembrolizumab (MK-3475) Plus Chemotherapy vs. Placebo Plus Chemotherapy for Previously Untreated Locally Recurrent Inoperable or Metastatic Triple Negative Breast Cancer (MK-3475-355/KEYNOTE-355),COMPLETED,INTERVENTIONAL,PHASE3,Triple Negative Breast Cancer (TNBC),Merck Sharp & Dohme LLC,2026-06-15T12:34:51.695095
NCT02786797,Efficacy of MBSR Treatment of Cognitive Impairment Among Breast Cancer Survivors,COMPLETED,INTERVENTIONAL,NA,Breast Cancer,University of South Florida,2026-06-15T12:34:51.695102
NCT07214610,"Integrating Biological, Clinical, and Behavioral Factors to Improve Breast Cancer Outcomes - Carolina Breast Cancer Study",RECRUITING,INTERVENTIONAL,NA,"Breast Cancer, Breast Neoplasms",UNC Lineberger Comprehensive Cancer Center,2026-06-15T12:34:51.695106
NCT02095210,HER2 PET Imaging in Breast Cancer Patients Using [68GA]ABY-025,TERMINATED,INTERVENTIONAL,PHASE1,HER2-positive Breast Cancer,Dorte Nielsen,2026-06-15T12:34:51.695110
NCT05979220,Study of Dalpiciclib Combined With Letrozole in the Maintenance Treatment of HR Positive and HER2 Negative Metastatic Breast Cancer After First-line Chemotherapy,NOT_YET_RECRUITING,INTERVENTIONAL,PHASE2,Breast Cancer,Shuangyue Liu,2026-06-15T12:34:51.695116
NCT06704659,Study on Recurrent Breast Cancer and Repeated Radiation Therapy,RECRUITING,INTERVENTIONAL,NA,Recurrent Breast Carcinoma,Turku University Hospital,2026-06-15T12:34:51.695120
NCT02560662,PhysSurg-B : Physical Activity in Relation to Surgical Operations - Breast Cancer,COMPLETED,INTERVENTIONAL,NA,Breast Cancer,Vastra Gotaland Region,2026-06-15T12:34:51.695124
NCT04577846,"SSI Rates in Patients Undergoing Mastectomy Without Reconstruction- A Multicenter, Double-blinded RCT.",UNKNOWN,INTERVENTIONAL,PHASE3,Surgical Site Infection,Aga Khan University,2026-06-15T12:34:51.695128
